,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
10,0.01,0.01,0.01,3,1000,200.0,0.5216,0.6922141739480303,0.099901244,0.01375124417245388,0.2357801362883074,0.0026871148,0.0018059189,0.00061107683,0.022965776,0.49494237,0.0042437464,0.5028221,0.49080333,0.00030256496,0.00012650283,0.0005017491,0.00013804447
11,0.01,0.01,0.01,8,1000,2000.0,0.4944,0.693575521622036,0.10057179,0.015635192394256592,0.2413270785879118,1.641512e-08,8.989025e-09,6.7676447e-09,1.5503207e-07,0.4899317,3.970754e-08,0.48993182,0.4899316,1.7486279e-09,1.2504671e-10,2.023074e-09,1.5017918e-09
12,0.01,0.01,0.1,1,1000,20.0,,,,,,,,,,,,,,,,,
13,0.01,0.01,0.1,3,1000,200.0,0.6612,0.6122354358662109,0.055997003,0.07058501243591309,0.12080865787079165,0.0046792338,0.0019884172,0.0015829195,0.01384602,0.7214071,0.13738096,0.8873495,0.53138274,0.00042991678,4.2293977e-05,0.0005179462,0.00034846284
14,0.01,0.01,0.1,8,1000,2000.0,0.4944,0.6933024009121617,0.10044643,0.010462284088134766,0.24023728202690908,1.6333617e-08,8.7818295e-09,6.766289e-09,1.400621e-07,0.49516132,3.793398e-08,0.49516138,0.49516118,1.7412787e-09,9.9361956e-11,1.955035e-09,1.5349094e-09
15,0.01,0.01,1.0,1,1000,20.0,0.478,0.9798168407229808,0.15740624,0.27557262778282166,0.1956214767645819,0.09663256,0.050181888,0.012597276,0.22483292,0.7710432,0.27849573,0.99937516,0.4216342,0.006321576,0.0049908054,0.013903237,0.00062444777
16,0.01,0.01,1.0,3,1000,200.0,0.5056,0.6951208164372905,0.10139807,0.032273292541503906,0.2323775096546633,0.0028914155,0.0014636394,0.0010478814,0.014325509,0.53796375,0.0006840946,0.5388223,0.5367359,0.0003088789,4.397948e-05,0.00039803356,0.00021983807
17,0.01,0.01,1.0,8,1000,2000.0,0.4944,0.6932080943040322,0.10040544,0.00787287950515747,0.23971692389359306,1.4242571e-08,7.80717e-09,5.8691176e-09,1.4335552e-07,0.49773765,4.2955882e-08,0.49773782,0.49773756,1.5161598e-09,8.386684e-11,1.6951701e-09,1.3577386e-09
18,0.01,0.001,0.01,1,1000,20.0,0.4924,0.7391649794994066,0.116477236,0.146864116191864,0.13703959878196548,0.10897114,0.052650172,0.03378318,0.28538013,0.620128,0.26930645,0.9987062,0.19551945,0.011654941,0.00800526,0.028090814,0.0012921065
19,0.01,0.001,0.01,3,1000,200.0,0.574,0.6754590976811505,0.08646276,0.06917332857847214,0.13937204908316564,0.01384935,0.005393707,0.0048364988,0.044410996,0.60025334,0.13545687,0.8312883,0.43167916,0.0015354612,0.00017575701,0.0018244557,0.0011425242
20,0.01,0.001,0.01,8,1000,2000.0,0.5056,0.6931009871952453,0.10036436,0.002894580364227295,0.2387364909779055,1.2178672e-08,6.459282e-09,4.9331867e-09,1.01992825e-07,0.50272524,5.1951524e-08,0.50272536,0.5027252,1.2994018e-09,7.245861e-11,1.465205e-09,1.1619222e-09
21,0.01,0.001,0.1,1,1000,20.0,0.5042,0.7415236905883114,0.13157114,0.11009251326322556,0.16317452532646784,0.18809004,0.11114468,0.02457942,0.28867513,0.37244123,0.14685112,0.5,0.1123277,0.12045947,0.13788606,0.28867513,0.0053573702
22,0.01,0.001,0.1,3,1000,200.0,,,,,,,,,,,,,,,,,
23,0.01,0.001,0.1,8,1000,2000.0,0.5056,0.6930928481777928,0.10036236,0.0020357370376586914,0.2385771303426249,1.2922814e-08,7.0328854e-09,5.4947464e-09,1.1828008e-07,0.5035522,4.0650033e-08,0.5035523,0.5035521,1.3775242e-09,8.825412e-11,1.5951247e-09,1.2164263e-09
24,0.01,0.001,1.0,1,1000,20.0,0.4594,0.9205314375674123,0.27421975,0.18422064185142517,0.1728606860514505,0.19768254,0.10804069,0.024981644,0.28867513,0.33938533,0.19754869,0.5,0.0898205,0.17603488,0.13849233,0.28867513,0.005190422
25,0.01,0.001,1.0,3,1000,200.0,0.5074,0.7467704928510066,0.119294725,0.14755108952522278,0.16220920616497825,0.017598383,0.013838944,0.0038894212,0.17815228,0.6615821,0.084228694,0.7689542,0.586466,0.0018337208,0.000958837,0.003978546,0.00089468993
